id,data_inversa,dia_semana,horario,uf,br,km,municipio,latitude,longitude,feridos_leves,feridos_graves,mortos,classificacao_acidente,causa_principal,causa_acidente,tipo_acidente,fase_dia,condicao_metereologica,tipo_pista,tracado_via,uso_solo,sentido_via,osm_total_elementos,osm_tipos
652468,2025-01-01,quarta-feira,00:30:00,PE,101.0,"89,5",jaboatao dos guararapes,-8.207607,-34.98372,2.0,0.0,0.0,Com Vítimas Feridas,Sim,Reação tardia ou ineficiente do condutor,Colisão traseira,Plena Noite,Céu Claro,Dupla,Reta,Não,Decrescente,2,{'bus_stop': 2}
652469,2025-01-01,quarta-feira,00:50:00,SC,101.0,120,itajai,-26.912758,-48.711998,1.0,0.0,0.0,Com Vítimas Feridas,Sim,Ausência de reação do condutor,Tombamento,Plena Noite,Nublado,Dupla,Reta,Não,Decrescente,0,{}
652470,2025-01-01,quarta-feira,01:15:00,GO,153.0,414,anapolis,-16.133518,-49.047565,0.0,1.0,0.0,Com Vítimas Feridas,Sim,Transitar na contramão,Colisão lateral sentido oposto,Plena Noite,Garoa/Chuvisco,Simples,Reta,Não,Decrescente,0,{}
652471,2025-01-01,quarta-feira,02:00:00,PR,116.0,"11,3",colombo,-25.372288,-49.138134,0.0,0.0,0.0,Sem Vítimas,Sim,Ingestão de álcool pelo condutor,Saída de leito carroçável,Plena Noite,Céu Claro,Dupla,Reta,Não,Crescente,0,{}
652473,2025-01-01,quarta-feira,01:40:00,DF,20.0,"8,8",brasilia,-15.658386,-47.791534,0.0,0.0,0.0,Sem Vítimas,Sim,Reação tardia ou ineficiente do condutor,Colisão transversal,Plena Noite,Céu Claro,Dupla,Reta,Sim,Crescente,0,{}
652474,2025-01-01,quarta-feira,02:30:00,PR,163.0,"219,7",cascavel,-24.897236,-53.533794,8.0,0.0,0.0,Com Vítimas Feridas,Não,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Plena Noite,Céu Claro,Dupla,Reta,Não,Decrescente,0,{}
652475,2025-01-01,quarta-feira,02:37:00,PB,230.0,"35,9",santa rita,-7.12665,-34.95012,2.0,0.0,0.0,Com Vítimas Feridas,Sim,Ausência de reação do condutor,Queda de ocupante de veículo,Plena Noite,Céu Claro,Dupla,Reta,Sim,Crescente,3,{'bus_stop': 3}
652476,2025-01-01,quarta-feira,01:30:00,SP,116.0,"6,7",queluz,-22.531582,-44.753746,2.0,0.0,0.0,Com Vítimas Feridas,Sim,Ausência de reação do condutor,Colisão com objeto,Plena Noite,Céu Claro,Dupla,Reta,Não,Decrescente,0,{}
652477,2025-01-01,quarta-feira,03:00:00,PR,116.0,14,colombo,-25.3818,-49.1643,5.0,0.0,5.0,Com Vítimas Fatais,Não,Velocidade Incompatível,Capotamento,Plena Noite,Nublado,Dupla,Reta,Sim,Decrescente,0,{}
652478,2025-01-01,quarta-feira,03:15:00,SC,101.0,143,itapema,-27.06436,-48.595993,0.0,0.0,0.0,Sem Vítimas,Sim,Demais falhas mecânicas ou elétricas,Incêndio,Plena Noite,Céu Claro,Dupla,Reta,Não,Crescente,1,{'bus_stop': 1}
652479,2025-01-01,quarta-feira,03:35:00,PI,343.0,"8,4",parnaiba,-2.899382,-41.723724,0.0,0.0,0.0,Sem Vítimas,Sim,Ausência de reação do condutor,Colisão traseira,Plena Noite,Céu Claro,Simples,Reta,Sim,Crescente,1,{'bus_stop': 1}
652480,2025-01-01,quarta-feira,03:50:00,PE,101.0,41,igarassu,-7.8353972,-34.913166,0.0,0.0,0.0,Sem Vítimas,Sim,Velocidade Incompatível,Saída de leito carroçável,Plena Noite,Céu Claro,Dupla,Ponte,Sim,Crescente,1,{'bus_stop': 1}
652481,2025-01-01,quarta-feira,01:50:00,PR,373.0,173,ponta grossa,-25.075949,-50.209957,0.0,1.0,0.0,Com Vítimas Feridas,Sim,Entrada inopinada do pedestre,Atropelamento de Pedestre,Plena Noite,Nublado,Dupla,Curva,Sim,Crescente,0,{}
652482,2025-01-01,quarta-feira,04:00:00,PR,376.0,"141,9",nova esperanca,-23.24847,-52.168648,4.0,8.0,0.0,Com Vítimas Feridas,Não,Ausência de reação do condutor,Queda de ocupante de veículo,Plena Noite,Céu Claro,Dupla,Declive;Reta,Não,Decrescente,2,{'bus_stop': 2}
652483,2025-01-01,quarta-feira,04:15:00,DF,70.0,16,brasilia,-15.796144,-48.194225,0.0,2.0,0.0,Com Vítimas Feridas,Sim,Ausência de reação do condutor,Queda de ocupante de veículo,Plena Noite,Nublado,Dupla,Reta;Rotatória,Sim,Decrescente,1,{'speed_camera': 1}
652484,2025-01-01,quarta-feira,03:15:00,SC,101.0,446,santa rosa do sul,-29.151909,-49.727093,10.0,10.0,0.0,Com Vítimas Feridas,Não,Ausência de reação do condutor,Saída de leito carroçável,Plena Noite,Céu Claro,Dupla,Reta,Não,Decrescente,1,{'bus_stop': 1}
652485,2025-01-01,quarta-feira,03:15:00,RJ,101.0,"530,8",angra dos reis,-23.023245,-44.51685,0.0,1.0,0.0,Com Vítimas Feridas,Sim,Retorno proibido,Colisão transversal,Plena Noite,Nublado,Simples,Reta,Sim,Decrescente,1,{'bus_stop': 1}
652486,2025-01-01,quarta-feira,03:40:00,PR,476.0,143,curitiba,-25.538525,-49.31066,0.0,0.0,0.0,Sem Vítimas,Sim,Ausência de reação do condutor,Colisão com objeto,Plena Noite,Céu Claro,Dupla,Curva,Não,Decrescente,2,{'bus_stop': 2}
652487,2025-01-01,quarta-feira,03:15:00,PR,373.0,234,imbituva,-25.184538,-50.706722,0.0,0.0,0.0,Sem Vítimas,Sim,Ausência de reação do condutor,Saída de leito carroçável,Plena Noite,Céu Claro,Simples,Reta,Não,Crescente,0,{}
652489,2025-01-01,quarta-feira,03:00:00,MT,364.0,266,sao pedro da cipa,-15.995969,-54.922596,2.0,0.0,0.0,Com Vítimas Feridas,Não,Velocidade Incompatível,Saída de leito carroçável,Plena Noite,Céu Claro,Simples,Curva,Sim,Decrescente,0,{}
