id,data_inversa,dia_semana,horario,uf,br,km,municipio,latitude,longitude,feridos_leves,feridos_graves,mortos,classificacao_acidente,causa_principal,causa_acidente,tipo_acidente,fase_dia,condicao_metereologica,tipo_pista,tracado_via,uso_solo,sentido_via
742884,2026-01-01,quinta-feira,00:05:00,SC,101.0,145,itapema,-27.084768,-48.606358,1.0,0.0,0.0,Com Vítimas Feridas,Sim,Reação tardia ou ineficiente do condutor,Queda de ocupante de veículo,Plena Noite,Nublado,Dupla,Reta,Sim,Crescente
742885,2026-01-01,quinta-feira,00:20:00,PR,376.0,"639,3",tijucas do sul,-25.783081,-49.120914,0.0,0.0,0.0,Sem Vítimas,Não,Falta de elemento de contenção que evite a saída do leito carroçável,Saída de leito carroçável,Plena Noite,Nublado,Dupla,Reta;Aclive,Não,Decrescente
742888,2026-01-01,quinta-feira,00:05:00,MG,262.0,108,santo antonio do grama,-20.27039,-42.57028,0.0,0.0,0.0,Sem Vítimas,Sim,Animais na Pista,Atropelamento de Animal,Plena Noite,Céu Claro,Simples,Curva,Não,Decrescente
742889,2026-01-01,quinta-feira,00:10:00,PR,376.0,"174,4",maringa,-23.415747,-51.95414,3.0,3.0,0.0,Com Vítimas Feridas,Sim,Manobra de mudança de faixa,Queda de ocupante de veículo,Plena Noite,Céu Claro,Dupla,Interseção de Vias;Reta,Sim,Decrescente
742891,2026-01-01,quinta-feira,01:10:00,SC,101.0,164,tijucas,-27.243542,-48.63071,2.0,0.0,0.0,Com Vítimas Feridas,Sim,Velocidade Incompatível,Colisão traseira,Plena Noite,Nublado,Dupla,Ponte;Declive,Sim,Crescente
742892,2026-01-01,quinta-feira,01:30:00,MG,381.0,480,contagem,-19.958261,-44.058155,0.0,0.0,0.0,Sem Vítimas,Não,Reação tardia ou ineficiente do condutor,Colisão traseira,Plena Noite,Chuva,Múltipla,Curva,Não,Decrescente
742893,2026-01-01,quinta-feira,00:45:00,PE,232.0,251,arcoverde,-8.42342,-37.05349,2.0,0.0,0.0,Com Vítimas Feridas,Não,Ingestão de álcool pelo condutor,Colisão traseira,Plena Noite,Céu Claro,Simples,Reta,Sim,Crescente
742894,2026-01-01,quinta-feira,02:00:00,PR,376.0,650,tijucas do sul,-25.845106,-49.07222,1.0,0.0,0.0,Com Vítimas Feridas,Sim,Ausência de reação do condutor,Queda de ocupante de veículo,Plena Noite,Garoa/Chuvisco,Dupla,Reta;Declive,Não,Decrescente
742896,2026-01-01,quinta-feira,01:45:00,SP,153.0,113,ubarana,-21.147148,-49.703747,0.0,0.0,0.0,Sem Vítimas,Não,Ingestão de álcool pelo condutor,Tombamento,Plena Noite,Nublado,Simples,Reta;Aclive,Não,Decrescente
742898,2026-01-01,quinta-feira,03:10:00,PR,369.0,"165,7",cambe,-23.295868,-51.301678,6.0,0.0,0.0,Com Vítimas Feridas,Não,Avarias e/ou desgaste excessivo no pneu,Saída de leito carroçável,Plena Noite,Garoa/Chuvisco,Dupla,Reta,Sim,Decrescente
742899,2026-01-01,quinta-feira,03:20:00,RS,290.0,"178,1",butia,-30.135532,-51.998398,0.0,2.0,0.0,Com Vítimas Feridas,Sim,Ingestão de álcool pelo condutor,Capotamento,Plena Noite,Céu Claro,Simples,Reta,Não,Crescente
742900,2026-01-01,quinta-feira,03:00:00,SC,101.0,"440,7",santa rosa do sul,-29.127956,-49.682175,4.0,0.0,0.0,Com Vítimas Feridas,Sim,Ausência de reação do condutor,Capotamento,Plena Noite,Céu Claro,Múltipla,Reta,Não,Crescente
742901,2026-01-01,quinta-feira,03:15:00,PB,230.0,1,cabedelo,-6.976325,-34.83149,0.0,0.0,0.0,Sem Vítimas,Sim,Ingestão de álcool pelo condutor,Colisão com objeto,Amanhecer,Céu Claro,Simples,Reta,Sim,Crescente
742902,2026-01-01,quinta-feira,03:10:00,SC,101.0,58,araquari,-26.439508,-48.80195,2.0,0.0,0.0,Com Vítimas Feridas,Sim,Chuva,Queda de ocupante de veículo,Plena Noite,Chuva,Múltipla,Declive;Reta,Não,Decrescente
742905,2026-01-01,quinta-feira,03:30:00,PR,277.0,"664,4",matelandia,-25.253357,-53.995934,6.0,0.0,0.0,Com Vítimas Feridas,Não,Ingestão de álcool pelo condutor,Queda de ocupante de veículo,Plena Noite,Céu Claro,Dupla,Reta,Não,Crescente
742906,2026-01-01,quinta-feira,02:40:00,PE,232.0,172,belo jardim,-8.338803,-36.36353,1.0,0.0,0.0,Com Vítimas Feridas,Sim,Animais na Pista,Atropelamento de Animal,Amanhecer,Céu Claro,Simples,Reta,Não,Decrescente
